iter	Passed	Remaining
457	708696	838675
458	710405	837319
459	712184	836042
460	713890	834679
461	715600	833318
462	717328	831977
463	719064	830643
464	720843	829358
465	722579	828020
466	724334	826703
467	726040	825327
468	727719	823921
469	729459	822581
470	731175	821214
471	732907	819862
472	734607	818473
473	736307	817083
474	736755	814309
475	738477	812945
476	740186	811567
477	741889	810180
478	743592	808792
479	745307	807416
480	747008	806024
481	748702	804622
482	750436	803262
483	750486	800105
484	752221	798750
485	753948	797385
486	755669	796012
487	757382	794631
488	759093	793244
489	760788	791841
490	762521	790475
491	764252	789106
492	765947	787698
493	767651	786298
494	767789	783300
495	769489	781900
496	771202	780512
497	772920	779128
498	774616	777721
499	776302	776302
500	777997	774891
501	779699	773486
502	781413	772092
503	783167	770736
504	784882	769340
505	786605	767950
506	788314	766546
507	790061	765177
508	791743	763744
509	793493	762376
510	795217	760980
511	796946	759589
512	798681	758202
513	800382	756782
514	802125	755399
515	803854	754003
516	805568	752590
517	807273	751169
518	808973	749741
519	810675	748316
520	812386	746896
521	814138	745513
522	815850	744093
523	817554	742664
524	819258	741233
525	820957	739798
526	822668	738372
527	824437	736996
528	826154	735574
529	827858	734138
530	829556	732696
531	831260	731259
532	832977	729831
533	834676	728388
534	836378	726945
535	838074	725497
536	839785	724060
537	841489	722617
538	843196	721175
539	843635	718652
540	845365	717232
541	847066	715787
542	848767	714340
543	850460	712886
544	850893	710378
545	852612	708948
546	854348	707532
547	856040	706077
548	857755	704640
549	859447	703184
550	861158	701742
551	862859	700291
552	864574	698851
553	866275	697398
554	867982	695950
555	869680	694492
556	871417	693066
557	873151	691636
558	874848	690175
559	876537	688707
560	878214	687230
561	879898	685757
562	881590	684289
563	883301	682835
564	885020	681387
565	886711	679916
566	888406	678448
567	890115	676989
568	891824	675529
569	893597	674117
570	895270	672629
571	896971	671160
572	898678	669695
573	900365	668215
574	902072	666748
575	903774	665278
576	905491	663817
577	907194	662346
578	908878	660860
579	910603	659402
580	912432	658018
581	914177	656574
582	915879	655097
583	917574	653614
584	919280	652139
585	921026	650690
586	922719	649204
587	924417	647720
588	926126	646244
589	927852	644779
590	929563	643301
591	931316	641853
592	933021	640370
593	934759	638909
594	936457	637420
595	936596	634874
596	938308	633397
597	940014	631916
598	941713	630429
599	943436	628957
600	945138	627471
601	946833	625979
602	948538	624493
603	950257	623016
604	951946	621518
605	953670	620043
606	955380	618558
607	957068	617057
608	957513	614758
609	959203	613261
610	960900	611767
611	962590	610269
612	964332	608803
613	966021	607303
614	967703	605797
615	969391	604295
616	971122	602820
617	972801	601310
618	974507	599817
619	976213	598324
620	977905	596821
621	979647	595348
622	981359	593856
623	983058	592355
624	984760	590856
625	986439	589342
626	988160	587852
627	989838	586337
628	991531	584829
629	993231	583326
630	994921	581816
631	996617	580308
632	998318	578804
633	1000011	577293
634	1001696	575778
635	1003413	574280
636	1005094	572761
637	1006783	571247
638	1008478	569735
639	1010185	568229
640	1011863	566706
641	1013559	565193
642	1015244	563674
643	1015292	561248
644	1017011	559750
645	1018723	558247
646	1020442	556748
647	1022148	555241
648	1023852	553732
649	1025556	552222
650	1027268	550716
651	1028960	549199
652	1030644	547678
653	1032367	546175
654	1034066	544660
655	1035753	543139
656	1037443	541618
657	1039144	540102
658	1040842	538584
659	1042544	537068
660	1044246	535551
661	1045990	534055
662	1047683	532532
663	1049428	531036
664	1051118	529510
665	1052813	527987
666	1054514	526466
667	1056212	524944
668	1057920	523425
669	1059612	521898
670	1061301	520369
671	1063012	518851
672	1064721	517331
673	1066427	515809
674	1068138	514289
675	1069840	512763
676	1071535	511234
677	1073223	509702
678	1074928	508176
679	1076633	506651
680	1078322	505117
681	1080009	503582
682	1081699	502048
683	1083406	500520
684	1085123	498998
685	1086864	497486
686	1088561	495953
687	1090250	494415
688	1091938	492878
689	1093631	491341
690	1095326	489805
691	1097019	488268
692	1098710	486730
693	1100397	485189
694	1102091	483651
695	1103774	482108
696	1105469	480570
697	1107153	479026
698	1108843	477484
699	1110530	475941
700	1112205	474392
701	1113884	472845
702	1115585	471307
703	1117280	469765
704	1118956	468215
705	1120644	466670
706	1122337	465127
707	1124053	463592
708	1125753	462051
709	1127484	460522
710	1129231	458998
711	1130931	457455
712	1132629	455911
713	1134336	454370
714	1136035	452825
715	1137736	451280
716	1139434	449734
717	1141127	448186
718	1142831	446642
719	1144554	445104
720	1146300	443575
721	1148016	442034
722	1149718	440486
723	1151421	438939
724	1153123	437391
725	1154820	435841
726	1156518	434290
727	1158237	432748
728	1159932	431195
729	1161640	429647
730	1163335	428094
731	1165045	426546
732	1166752	424997
733	1168495	423460
734	1170182	421902
735	1171881	420348
736	1173589	418797
737	1175293	417245
738	1176998	415692
739	1178699	414137
740	1180410	412586
741	1182133	411038
742	1183859	409491
743	1185563	407935
744	1187287	406386
745	1189039	404847
746	1190735	403287
747	1191166	401302
748	1192881	399750
749	1194611	398203
750	1196343	396657
751	1198094	395116
752	1199809	393563
753	1201523	392009
754	1203235	390454
755	1204963	388903
756	1206668	387345
757	1208381	385789
758	1210102	384235
759	1211832	382684
760	1213538	381124
761	1215266	379571
762	1216965	378008
763	1218685	376452
764	1220391	374891
765	1222093	373328
766	1223783	371762
767	1225486	370199
768	1227195	368637
769	1228912	367077
770	1230623	365515
771	1232326	363951
772	1234049	362392
773	1235766	360830
774	1237472	359266
775	1239170	357698
776	1240893	356137
777	1242595	354571
778	1244339	353015
779	1246054	351451
780	1247750	349881
781	1249485	348322
782	1251218	346761
783	1252931	345195
784	1254687	343640
785	1256401	342073
786	1258107	340504
787	1259877	338951
788	1261602	337386
789	1263300	335814
790	1265018	334246
791	1266725	332675
792	1268427	331102
793	1270118	329526
794	1271824	327954
795	1273561	326390
796	1275246	324811
797	1276936	323234
798	1277071	321265
799	1278903	319725
800	1280597	318150
801	1282289	316575
802	1283997	315003
803	1285611	313407
804	1287154	311795
805	1288661	310174
806	1290147	308548
807	1291653	306927
808	1292054	305046
809	1293514	303417
810	1294989	301791
811	1296484	300171
812	1297956	298546
813	1299450	296926
814	1300932	295303
815	1302379	293673
816	1303888	292058
817	1305369	290436
818	1306831	288811
819	1308307	287189
820	1309776	285566
821	1311223	283938
822	1312654	282308
823	1314128	280687
824	1315606	279068
825	1317037	277438
826	1318434	275803
827	1319919	274186
828	1321527	272594
829	1323276	271032
830	1324983	269461
831	1326667	267884
832	1328405	266318
833	1330128	264749
834	1331842	263178
835	1333567	261608
836	1335273	260035
837	1336976	258460
838	1338689	256887
839	1340394	255313
840	1342113	253740
841	1343799	252161
842	1345579	250600
843	1347284	249024
844	1348981	247446
845	1350703	245872
846	1352416	244297
847	1354111	242718
848	1355813	241139
849	1357518	239562
850	1359232	237985
851	1360940	236407
852	1362673	234833
853	1364401	233258
854	1366106	231678
855	1367806	230098
856	1369566	228527
857	1371279	226948
858	1372972	225365
859	1374689	223786
860	1376405	222207
861	1378101	220624
862	1379812	219043
863	1381526	217462
864	1383228	215879
865	1385006	214308
866	1386712	212725
867	1388438	211145
868	1390121	209558
869	1391812	207972
870	1393503	206385
871	1395190	204798
872	1396874	203210
873	1398564	201623
874	1400253	200036
875	1401948	198449
876	1403646	196862
877	1405347	195276
878	1407036	193687
879	1407273	191900
880	1408964	190314
881	1410671	188729
882	1412372	187143
883	1414078	185557
884	1415754	183968
885	1417439	182379
886	1419133	180791
887	1420815	179201
888	1422512	177613
889	1424219	176027
890	1425905	174437
891	1427602	172848
892	1429286	171258
893	1430983	169669
894	1431426	167932
895	1431664	166175
896	1433343	164586
897	1435023	162998
898	1436704	161409
899	1438396	159821
900	1440081	158233
901	1441768	156644
902	1443451	155055
903	1445136	153465
904	1446824	151876
905	1448507	150286
906	1450181	148695
907	1451869	147105
908	1452099	145369
909	1453783	143780
910	1455469	142191
911	1457158	140603
912	1458849	139014
913	1460556	137426
914	1462268	135839
915	1463954	134249
916	1465640	132658
917	1467330	131068
918	1469015	129477
919	1470702	127887
920	1472412	126298
921	1474099	124706
922	1475791	123115
923	1477491	121525
924	1479177	119933
925	1480866	118341
926	1482583	116751
927	1484326	115163
928	1486072	113574
929	1487782	111983
930	1489485	110391
931	1491174	108798
932	1492883	107206
933	1494587	105613
934	1496289	104020
935	1497999	102427
936	1499750	100836
937	1501467	99244
938	1503184	97650
939	1504897	96057
940	1506609	94463
941	1508312	92868
942	1510023	91273
943	1511731	89678
944	1513441	88083
945	1515167	86489
946	1516880	84894
947	1518638	83300
948	1520353	81704
949	1522071	80109
950	1523779	78512
951	1525496	76915
952	1527210	75318
953	1528915	73721
954	1529347	72063
955	1531063	70467
956	1532750	68869
957	1534437	67271
958	1536130	65673
959	1537865	64077
960	1539603	62481
961	1541296	60882
962	1543031	59285
963	1544708	57686
964	1546405	56087
965	1548086	54487
966	1549771	52887
967	1551444	51287
968	1553122	49687
969	1554795	48086
970	1556479	46486
971	1558163	44885
972	1559848	43284
973	1561541	41683
974	1563234	40082
975	1564922	38481
976	1566614	36880
977	1568289	35278
978	1569979	33676
979	1571674	32074
980	1573398	30473
981	1575079	28871
982	1576737	27268
983	1578406	25665
984	1580083	24062
985	1581752	22458
986	1583432	20855
987	1585114	19252
988	1586803	17648
989	1588483	16045
990	1590165	14441
991	1591842	12837
992	1593521	11233
993	1595202	9628
994	1595632	8018
995	1597316	6414
996	1598991	4811
997	1600677	3207
998	1602360	1603
999	1604067	0
