iter	Logloss
0	0.6910647697
1	0.6893333893
2	0.6876462409
3	0.6863222259
4	0.6844872959
5	0.6827888441
6	0.6807129367
7	0.6790569276
8	0.677535899
9	0.6758506064
10	0.6734337431
11	0.6716126968
12	0.6694415101
13	0.6678966176
14	0.6663569644
15	0.6646284115
16	0.6625023553
17	0.6602720017
18	0.658272844
19	0.6564777933
20	0.6548957263
21	0.6532550264
22	0.6515054331
23	0.6498183683
24	0.6481410278
25	0.6465596578
26	0.6444336511
27	0.6430635319
28	0.6412231776
29	0.639740728
30	0.6379517057
31	0.6360606227
32	0.6342658529
33	0.6322922967
34	0.6307026233
35	0.6293268188
36	0.6276820084
37	0.6259506418
38	0.6241300965
39	0.6227787058
40	0.6206347335
41	0.6193638558
42	0.6175710197
43	0.6161349344
44	0.6145556803
45	0.6134775858
46	0.6116450617
47	0.6100982915
48	0.6094666348
49	0.6078030854
50	0.606260793
51	0.6048656327
52	0.6035743431
53	0.6022848634
54	0.6007974545
55	0.5991659867
56	0.5977635184
57	0.5964767412
58	0.5949385836
59	0.5934808794
60	0.5919425116
61	0.5902192091
62	0.5883547342
63	0.5864086143
64	0.5850764269
65	0.583486449
66	0.5819232981
67	0.5803210935
68	0.5784941294
69	0.5770007128
70	0.5753726861
71	0.5739939617
72	0.5721181232
73	0.5709565599
74	0.5696219361
75	0.5682757298
76	0.5669913245
77	0.5659215785
78	0.5644985205
79	0.5628434725
80	0.5611950407
81	0.5600335226
82	0.5587499792
83	0.5570059477
84	0.5555356346
85	0.5539473895
86	0.5527126325
87	0.5512833634
88	0.5497952127
89	0.5481420453
90	0.5466936467
91	0.5453042059
92	0.5439632264
93	0.5425194715
94	0.5411187143
95	0.5396006862
96	0.5380118838
97	0.5368062095
98	0.535258338
99	0.5339265261
100	0.5326016599
101	0.5310611756
102	0.5299224238
103	0.5288876802
104	0.5276622548
105	0.5265510469
106	0.525188446
107	0.523783748
108	0.5224320993
109	0.521057521
110	0.5197108105
111	0.5183727815
112	0.5170787492
113	0.5161511735
114	0.5153061624
115	0.5137485092
116	0.5123222451
117	0.51080402
118	0.5095138894
119	0.508171527
120	0.507083008
121	0.5059704018
122	0.5047873197
123	0.5035523269
124	0.5022516092
125	0.5013546882
126	0.5004288283
127	0.4991227806
128	0.4981483128
129	0.4971261237
130	0.495677328
131	0.4946972492
132	0.4936675646
133	0.4921950152
134	0.4911258267
135	0.4900496707
136	0.4884498653
137	0.4870197231
138	0.4857260778
139	0.4842491901
140	0.4832950424
141	0.4822361334
142	0.4810260612
143	0.4797973478
144	0.4790190543
